Lake name,Latitude (°),Longitude (°),Area(km2),Elevation (m),Average Depth (m),Number of Pixels ,Percentage of lake represented
Pud lake,-114.383,62.4316,0.17,181,2.7,96,52.94
Rabbit Lake,-116.849,63.4668,11.96,172,12.4,12441,93.65
Raccoon Lake,-117.692,62.87,43.93,287,1,45951,94.15
Radford Lake,-105.576,63.3944,41.05,341,4.5,39226,85.99
Rae Lake,-117.321,64.1656,201.35,200,28.3,198474,88.72
Range Lake,-114.423,62.4473,0.21,188,2.9,110,47.62
Ranji Lake,-115.09,64.1015,15.29,260,29.8,15364,90.45
Rater Lake,-114.368,62.5537,0.2,182,3.8,51,25
Rawalpindi Lake,-114.623,65.0285,88.37,415,6.7,87345,88.96
Rebesca Lake,-116.373,64.5352,65.24,252,36.5,66388,91.46
Recluse Lake,-114.015,66.0421,0.71,376,13.5,522,66.2
Redout Lake,-113.016,62.7403,8.38,293,7.4,7423,79.71
Redrock Lake,-114.165,65.4776,83.25,358,28,82622,89.32
Reid Lake,-109.959,63.7626,40.8,401,8.9,39960,88.14
Reindeer Lake,-113.583,63.8865,50.25,338,10.5,49658,88.94
Rib Lake,-114.177,62.3445,0.58,166,4,430,67.24
River Lake,-114.091,62.5945,4.96,166,20.8,4495,81.65
Robb Lake,-116.021,65.3709,16.95,356,15.4,17118,90.91
Robert Lake,-109.357,62.3803,3.52,331,11.8,2948,75.28
Rodrigues Lake,-115.633,64.7871,5.55,296,11.5,5399,87.57
Rolfe Lake,-111.725,63.0835,55.57,402,8.2,54011,87.48
Rome Lake,-118.342,64.3155,22.23,402,3.3,21396,86.64
Ross Lake,-113.26,62.6815,15.7,254,7,14207,81.46
Roulante Lake,-113.748,64.5571,20.52,420,11.4,18449,80.9
Roundrock Lake,-113.404,64.3891,29.74,342,23.9,29970,90.69
Rupp Lake,-112.264,63.8287,6.37,442,4.8,5234,73.94
Russell Lake,-115.75,63.0373,177.03,147,15.8,171240,86.93
Ryan Lake,-114.372,62.5871,1.06,220,2.6,879,74.53
Samandr Lake,-115.384,65.9782,59.36,422,10.8,59573,90.11
Sandy Lake,-113.077,64.1536,4.18,382,6.6,3763,80.86
Sarah Lake,-117.147,63.7832,66.45,187,17.3,66049,89.45
Savannah Lake,-108.911,64.4309,29.02,393,6.6,27969,86.73
Savoy Lake,-115.436,64.4286,1,330,7.7,773,70
Schist Lakes,-109.913,62.3707,0.95,353,5.2,422,40
Schwerdt Lake,-115.268,64.3828,0.1,0,0,37,30
Scott Lake,-113.572,62.652,2.62,246,5.6,1883,64.5
Scotty Lake,-112.989,63.4673,1.67,408,8.6,1359,73.05
Seahorse Lake,-111.229,64.3086,20.41,420,5.4,20629,90.98
Seal Lake,-108.95,64.6326,83.6,403,13.1,79887,86
Second Lake,-117.426,62.1259,3.27,179,5.4,3122,85.93
Self Lake,-117.274,65.2949,21.46,292,14.3,20770,87.09
Shadow Lake,-114.35,62.5662,0.06,0,0,13,16.67
Shamrock Lake,-115.012,64.7763,17.82,367,8.9,17503,88.38
Shaw Lake,-112.765,64.6106,4.99,392,6.2,4290,77.35
Short Point Lake,-114.224,62.7569,5.69,195,21.1,5339,84.53
Sid Lake,-103.986,62.2425,289.48,296,12,304865,94.78
Sifton Lake,-106.36,63.7027,90.93,355,6.6,75978,75.2
Simon Lake,-117.318,65.5421,6.98,270,11.8,6211,80.09
Singing Lake,-112.925,64.3162,13.32,370,9,12863,86.79
Sled Lake,-106.821,62.1265,23.5,380,6.4,21841,83.66
Sleepy Dragon Lake,-112.909,62.9194,5.21,331,5.7,4748,81.96
Slemon Lake,-116.033,63.2081,44.91,138,14.7,44378,88.82
Small Lake,-113.826,62.5185,0.74,193,5.1,547,66.22
Smart Lake,-106.822,63.4912,112.35,356,11.3,103542,82.88
Smoky Lake,-116.495,65.9003,2.45,369,9.8,2178,80
Snelgrove Lake,-105.615,62.3356,7.59,348,4.4,6599,78.26
Sophia Lake,-114.121,62.9357,3.64,248,7.2,2327,57.42
Sosan Lake,-111.95,63.2369,5.26,432,4.6,4140,70.91
Sparrow Lake,-113.648,62.6144,12.58,237,6.4,12077,86.41
Spencer Lake,-112.462,63.1573,13.2,375,11.8,13060,88.86
Sphinx Lake,-115.366,64.4645,1.56,345,5.7,1351,78.21
Spider Lake,-115.145,64.5067,16.58,341,11.5,13690,74.31
Sproule Lake,-113.478,62.7444,1.6,274,2.4,1022,57.5
Spruce Island Lake,-110.427,62.4009,1.66,171,10.3,1419,77.11
Staple Lake,-114.033,62.729,1.27,247,3.1,822,58.27
Starfish Lake,-111.61,64.3321,21.29,403,6.3,21575,91.22
Starvation Lake,-112.731,64.8988,37.76,400,9.1,38344,91.39
Steel Lake,-104.593,63.7203,8.98,159,8.6,8562,85.86
Sterlet Lake,-109.496,64.7214,44.66,426,15.1,41175,82.89
Street Lake,-105.317,63.4127,15.43,326,2.8,13352,77.9
Sunken Lake,-110.233,62.9846,1.7,259,19.1,1460,77.06
Suse Lake,-112.966,63.1386,2.36,341,4.8,1975,75.42
Sussex Lake,-108.328,64.4388,14.31,379,22,13522,85.05
Tanco Lake,-112.223,62.4201,4.27,272,5.7,2945,62.06
Tarantula Lake,-107.95,64.521,39.79,373,7.7,38615,87.33
Taylor Lake,-108.664,63.7853,33.13,389,10.2,32402,88.02
Tayonton Lake,-116.544,63.2112,23.03,150,3.6,12081,47.2
Tent Lake,-107.957,62.4281,72.1,346,12.7,67843,84.69
Terry Lake,-113.31,62.511,4.28,226,3.5,2570,53.97
The Nine Lakes,-114.043,63.4579,1.59,324,5.8,1194,67.3
Thetis Lake,-113.275,63.7214,29.11,351,9.9,28312,87.36
Thistlethwaite Lake,-113.627,63.1591,44.27,252,22.8,42541,86.49
Thomas Lake,-119.187,65.1207,3.81,241,3.8,3568,83.99
Thompson Lake,-113.5,62.6137,2.81,252,2.9,2381,76.16
Thonokied Lake,-109.628,64.3849,129.5,394,18.3,127553,88.55
Timberhill Lake,-106.655,62.37,16.55,363,6.3,14940,81.27
Toad Lake,-111.746,62.7272,5.91,362,4.8,4883,74.28
Tonggot Lake,-119.697,63.9928,18.55,312,4.3,15529,75.36
Toopon Lake,-110.439,62.3529,1.51,176,9.1,1372,81.46
Torrie Lake,-116.926,66.2355,0.52,310,7.7,430,75
Toura Lake,-108.568,62.8338,0.79,374,5,507,58.23
Trapper lake,-114.363,62.5266,0.31,182,3.1,137,38.71
Trout Lake,-114.364,62.7997,2.82,204,10.3,2400,76.6
Truce Lake,-114.886,64.5323,28.65,343,8.4,27814,87.36
Trumper Lake,-117.582,63.5949,4.96,0,0,4201,76.21
Tsan Lake,-112.937,64.0169,12.79,374,5.6,11773,82.88
Tuchay Lake,-119.163,65.2513,31.72,172,11.1,31222,88.56
Tuche Lake,-117.317,64.3356,14.78,200,15.8,14489,88.23
Tumi Lake,-116.794,63.4535,6.07,165,7.7,5620,83.36
Tyrrell Lake,-105.498,63.1246,227.09,318,9.8,220532,87.4
Uhlman Lake,-116.799,66.1321,9.3,314,12,8538,82.58
Upper Pensive Lake,-113.393,62.7247,3.28,246,5,2718,74.7
Upper Ross Lake,-113.153,62.7296,9.22,254,7,8451,82.54
Ursula Lake,-110.459,64.8159,22.95,453,6.7,22803,89.41
Vaillant Lake,-114.51,66.2053,2.46,329,11.2,2230,81.71
Van Lake,-113.077,63.3649,4.48,340,11.5,3780,75.89
Vee Lake,-114.35,62.5555,0.7,178,4.4,393,50
Victory Lake,-113.077,62.6708,10.37,252,4.2,9373,81.39
Vital Lake,-114.438,62.601,1.49,194,5.3,1092,65.77
Waite Lake,-113.322,62.8342,7.62,290,3.7,5495,64.96
Wallie Lake,-113.951,63.1343,0.2,285,3.4,98,45
Walmsley Lake,-108.493,63.4197,231.36,378,25.8,233258,90.74
Walsh Lake,-114.281,62.5829,9.17,174,9.6,8030,78.84
Webb Lake,-113.125,62.8492,3.62,314,4.6,2650,65.75
Wecho Lake,-113.812,63.9602,102.43,351,16.2,97862,85.99
Wedge Lake,-113.69,62.8632,9.87,260,7.9,8665,79.03
White Quartz Lake,-108.383,62.6897,2.6,380,6.1,2089,72.31
Whitefish Lake,-106.802,62.6983,331.46,350,11.6,326891,88.68
Whitewolf Lake,-113.919,64.9647,52.93,419,10.1,47837,81.33
Willow Lake,-114.215,62.3617,0.9,162,5.5,658,65.56
Windflower Lake,-118.517,62.8653,36.65,256,3.7,38202,93.81
Windy Lake,-109.928,64.9443,8.61,440,7.4,8000,83.62
Winter Lake,-112.943,64.4877,45.27,346,11.6,46846,93.09
Wolverine Lake,-111.38,63.2084,23.42,396,9.7,23074,88.68
Wonnacott Lake,-116.686,63.7158,1.62,0,0,1028,57.41
Woyna Lake,-112.985,62.4704,2.52,241,6,2226,79.37
Wylie Lake,-117.011,65.6689,15.66,322,9.4,14391,82.69
Yamba Lake,-111.376,64.9531,305.28,403,16.7,310925,91.66
Yanik Lake,-118.631,65.3664,8.1,230,5.2,8157,90.37
Zebulon Lake,-117.853,65.0521,56.04,184,15.4,56562,90.85
Zigzag Lake,-113.035,62.3407,5.11,200,10.9,4239,74.76
Zinto Lake,-116.396,64.1152,52.42,242,27.9,48637,83.5
Zipper Lake,-112.522,63.7092,3.81,426,6.5,3055,72.18
Zucker Lake,-106.799,62.9326,53.17,373,4.2,47658,80.67
